Timestamp|Sender|Message
2024-02-05 09:02:15|Farhan|Walao eh, Isnin pagi dah rasa nak mati. Packing dah start bertingkat-tingkat ni.
2024-02-05 09:05:30|Muthu|Morning geng! Sales hari ni on fire! Banyak order masuk semalam punya. Kongsi Raya punya pasal!
2024-02-05 09:07:45|Kak Yah|Aiyo Muthu, janganlah tambah pressure. Waybill nak start key-in ni, tangan dah lenguh dah.
2024-02-05 09:10:00|Farhan|Kak Yah, J&T punya pickup bila sampai ah? Barang dah ready, tapi takde waybill macam mana nak gerak?
2024-02-05 09:12:30|Kak Yah|Kejap Farhan, tengah printing batch pertama. Lepas tu baru key-in tracking number. Slow sikit la.
2024-02-05 09:15:10|Muthu|Kak Yah, cepat sikit lah. Customer tu dah bising-bising. They want their barang before Friday.
2024-02-05 09:17:55|Farhan|Muthu, lu ingat key-in tu pakai magic ke? Kak Yah sorang je tu, bukan robot.
2024-02-05 09:20:05|Kak Yah|Betul Farhan. Kepala dah pening ni. Banyak sangat order.
2024-02-05 09:25:40|Boss Chong|Team, morning. How are things looking for today's shipments? Any major issues?
2024-02-05 09:28:15|Muthu|Boss, sales cun. Order manyak. Cuma delivery kena push lagi. Warehouse tengah bottleneck sikit.
2024-02-05 09:30:50|Farhan|Boss, bukan bottleneck sikit. Ini bottleneck besar giler. Waybill tak keluar, barang tak gerak.
2024-02-05 09:33:20|Kak Yah|Boss, saya tengah buat sehabis baik ni. Waybill J&T memang kena manual enter satu-satu.
2024-02-05 09:35:55|Boss Chong|Okay, Kak Yah, just do your best. Farhan, help Kak Yah if you can, where possible.
2024-02-05 09:38:10|Farhan|Boss, gua takleh tolong key-in, gua kena packing. Kalau tak packing, lagi lambat.
2024-02-05 09:40:40|Muthu|Boss, customer Siow Lim dah call. Dia punya order 50 karton bila boleh hantar? Urgently needed, bro.
2024-02-05 09:43:15|Kak Yah|Aiyo, 50 karton? Yang tu kena ambil masa sikit. Tengah buat yang kecik-kecik dulu.
2024-02-05 09:46:00|Farhan|J&T Van dah sampai ke belum ni? Ada banyak barang dah ready pick up tapi takde tracking number.
2024-02-05 09:48:30|Kak Yah|Kejap Farhan, driver J&T cakap dia otw. Dia pun lambat sebab banyak pickup tempat lain.
2024-02-05 10:05:10|Muthu|Okay guys, serious question. How many orders can we ship out today max? Give me a number.
2024-02-05 10:08:00|Farhan|Muthu, entah la wei. Tengok Kak Yah punya jari laju mana. Gua packing sampai nak tercabut bahu ni.
2024-02-05 10:11:25|Kak Yah|Muthu, janganlah push macam tu. Nanti saya salah key-in, lagi teruk nanti.
2024-02-05 10:14:00|Boss Chong|Muthu, don't pressure Kak Yah. We need accuracy more than speed.
2024-02-05 10:30:15|Farhan|Boss, J&T van dah datang tapi dia nak 30 minit je. Barang kita banyak gila ni, takkan sempat.
2024-02-05 10:33:00|Kak Yah|Aduh, kenapa driver tu macam tu. Setengah jam mana cukup.
2024-02-05 10:35:45|Muthu|Farhan, Kak Yah, push lah! Cepat sikit. Rugi nanti kalau van tu pergi macam tu je.
2024-02-05 10:40:00|Farhan|Muthu, lu datang sini tengok la. Bukan senang la. Gua dah angkut barang sampai peluh jantan dah ni.
2024-02-05 11:00:20|Kak Yah|Okay, J&T dah ambil first batch. Tapi manyak lagi takde tracking number. Driver tu kena datang balik.
2024-02-05 11:03:00|Muthu|Aiyo, datang balik? Bila pulak? Customer Budi dah bising-bising. Dia order keropok lekor banyak.
2024-02-05 11:06:10|Farhan|Keropok lekor tu kena cepat la, nanti basi. Kesian customer.
2024-02-05 12:30:00|Boss Chong|Team, quick update. How many packages sent out this morning? And for the afternoon?
2024-02-05 12:33:15|Kak Yah|Boss, pagi ni sempat 80 parcel je. Banyak lagi ni. Pening dah kepala.
2024-02-05 12:35:40|Farhan|Boss, yang 80 tu pun gua angkat macam orang gila. Tadi J&T punya driver dah marah-marah.
2024-02-05 12:38:05|Muthu|Boss, 80 je? Tapi order masuk 200 lebih kot. Macam mana ni?
2024-02-05 12:40:30|Boss Chong|Okay, Kak Yah, Farhan, just take a quick lunch break. Then resume. Muthu, please manage customer expectations.
2024-02-05 13:00:10|Kak Yah|Takpe Boss, saya makan sambil key-in la. Takde masa nak rehat ni.
2024-02-05 13:03:00|Farhan|Gua pun makan berdiri je lah. Nak kemas pallet lagi ni.
2024-02-05 14:15:30|Muthu|Kak Yah, Farhan, I know you guys busy. But customer Lim already called me 3 times. He say if today cannot ship, he want cancel order.
2024-02-05 14:18:00|Farhan|Walao eh! Cancel order? Dah penat packing ni. Kak Yah, lu boleh ke?
2024-02-05 14:20:45|Kak Yah|Aduh, Muthu, janganlah cakap macam tu. Tengah key-in ni, nanti lagi lambat. Order Lim tu besar, kena double check.
2024-02-05 15:30:00|Boss Chong|Any progress report for the afternoon, team?
2024-02-05 15:33:10|Kak Yah|Boss, tengah cuba siapkan lagi 100 tracking numbers. Tapi mata dah merah ni.
2024-02-05 15:35:40|Farhan|Boss, barang makin bertimbun. Courier Ninja Van pulak cakap dia lambat nak datang. Pukul 5 baru sampai kot.
2024-02-05 15:38:15|Muthu|Ninja Van lambat? Aiyo, this is bad, wei! We promise customer today!
2024-02-05 15:40:50|Kak Yah|Muthu, janganlah menjerit. Saya dengar ni.
2024-02-05 16:00:20|Farhan|Boss, gua rasa nak pengsan dah ni. Semua benda tak gerak.
2024-02-05 16:03:10|Boss Chong|Farhan, take 10 minutes to rest. We don't want anyone to burn out.
2024-02-05 16:05:40|Farhan|Takpe Boss. Rest pun tak guna, barang still bertimbun. Baik gua angkat.
2024-02-05 17:00:00|Kak Yah|Ninja Van dah sampai! Cepat Farhan! Banyak barang nak kena scan ni.
2024-02-05 17:03:15|Farhan|Okay Kak Yah, gua dah kat sana. Mari lah ka-chiong!
2024-02-05 17:06:00|Muthu|Hurry up guys! Last push!
2024-02-05 18:30:00|Boss Chong|Alright team, it's getting late. Status update before we close for the day?
2024-02-05 18:33:10|Kak Yah|Boss, total 250 parcels keluar hari ni. Ada lagi 50 lebih tak sempat nak key-in. Esok kena sambung awal pagi.
2024-02-05 18:35:45|Farhan|Boss, badan dah hancur ni. Barang dah clear sikit. Tapi esok pagi datang dah bertimbun balik.
2024-02-05 18:38:10|Muthu|Boss, not bad lah for today. 250 is good. But that 50 must clear first thing tomorrow.
2024-02-05 18:40:50|Boss Chong|Good effort everyone. Kak Yah, Farhan, you two especially. Go home, rest. We tackle the remaining tomorrow.
2024-02-05 18:43:20|Kak Yah|Okay Boss. Terima kasih. Mata dah tak nampak dah ni.
2024-02-05 18:45:55|Farhan|Thanks Boss. Selamat malam semua. Rasa nak tidur terus sampai raya.
2024-02-05 18:48:30|Muthu|Good job team! Tomorrow we repeat, more sales!
2024-02-05 19:00:00|Boss Chong|Muthu, go home. Rest. Everyone needs to recharge. See you all tomorrow.
2024-02-05 19:02:15|Muthu|Roger Boss! Good night!
2024-02-05 20:15:00|Farhan|Muthu, jom lepak mamak Hakim. Penat gila siot harini.
2024-02-05 20:30:00|Muthu|On wei! Gua dah sampai, order teh tarik satu.